,DOI
0,10.3390/ani12010084
1,10.1075/jslp.21051.lev
2,10.1075/rs.21010.gra
3,10.1002/alz.058171
4,10.1002/alz.058424
5,10.1002/alz.058743
6,10.31274/jctp.13896
7,10.1649/0010-065x-75.4.812
8,10.1088/1361-6641/ac4406
9,10.1177/00943061211062960b
10,10.1109/jeds.2021.3139565
11,10.1007/s11121-021-01332-6
12,10.1371/journal.pone.0261528
13,10.1088/1361-6544/ac4152
14,10.1080/02650487.2021.1998878
15,10.3390/antiox11010061
16,10.1103/physrevlett.127.271801
17,10.1093/g3journal/jkab441
18,10.1021/acs.inorgchem.1c03200
19,10.1016/j.dib.2021.107753
